"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 27, 2014","2,327.59","2,323.79","2,336.74","2,322.89","67.68K","0.15%"
"Aug 26, 2014","2,324.09","2,339.60","2,350.39","2,317.18","93.84K","-0.80%"
"Aug 25, 2014","2,342.86","2,367.02","2,367.61","2,338.45","97.37K","-0.95%"
"Aug 22, 2014","2,365.36","2,352.32","2,368.46","2,350.99","89.82K","0.47%"
"Aug 21, 2014","2,354.24","2,365.73","2,367.46","2,333.30","100.69K","-0.50%"
"Aug 20, 2014","2,366.14","2,371.65","2,375.47","2,360.84","101.29K","-0.36%"
"Aug 19, 2014","2,374.77","2,378.89","2,379.47","2,358.97","115.85K","0.01%"
"Aug 18, 2014","2,374.56","2,366.27","2,379.80","2,361.20","104.51K","0.59%"
"Aug 15, 2014","2,360.64","2,337.99","2,366.90","2,333.12","93.59K","1.06%"
"Aug 14, 2014","2,335.95","2,357.20","2,363.18","2,334.08","97.97K","-0.97%"
"Aug 13, 2014","2,358.90","2,358.46","2,370.51","2,335.69","110.45K","0.08%"
"Aug 12, 2014","2,357.05","2,361.17","2,361.17","2,344.72","91.82K","-0.35%"
"Aug 11, 2014","2,365.35","2,338.01","2,367.00","2,337.01","91.60K","1.47%"
"Aug 08, 2014","2,331.13","2,329.18","2,339.27","2,319.29","86.74K","0.16%"
"Aug 07, 2014","2,327.46","2,363.61","2,369.20","2,326.27","116.73K","-1.51%"
"Aug 06, 2014","2,363.22","2,358.21","2,371.67","2,334.33","116.34K","-0.26%"
"Aug 05, 2014","2,369.35","2,376.80","2,380.77","2,353.80","111.86K","-0.26%"
